股票代码,股票名称,19年EPS,20年EPS,21年EPS,22年EPS,报告日期,研究机构,研究员,研报
sh600138,中 青 旅,0.78,0.81,--,--,2020-04-07,中金公司,何伟,摘要
sh600054,黄山旅游,--,0.49,--,--,2020-04-07,中金公司,何伟,摘要
sz000978,桂林旅游,0.15,0.21,--,--,2020-04-07,中金公司,何伟,摘要
sz000888,峨眉山Ａ,--,0.38,--,--,2020-04-07,中金公司,何伟,摘要
sh600809,山西汾酒,--,2.83,--,--,2020-04-07,国泰君安,訾猛/李梓语,摘要
sh600600,青岛啤酒,1.37,1.38,--,--,2020-04-07,国泰君安,訾猛/李梓语,摘要
sh600305,恒顺醋业,--,0.51,--,--,2020-04-07,国泰君安,訾猛/李梓语,摘要
sh601658,邮储银行,0.72,0.76,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh600926,杭州银行,--,1.39,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601128,常熟银行,--,0.78,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601229,上海银行,--,1.58,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601818,光大银行,0.68,0.75,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601288,农业银行,0.59,0.62,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601939,建设银行,1.05,1.09,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601169,北京银行,--,1.07,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601009,南京银行,--,1.66,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sz002142,宁波银行,--,3.06,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601328,交通银行,1.00,1.04,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601998,中信银行,0.95,1.0,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601166,兴业银行,--,3.4,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601398,工商银行,0.86,0.9,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh601988,中国银行,0.61,0.63,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh600036,招商银行,3.62,4.11,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh600000,浦发银行,--,2.25,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sz000001,平安银行,1.54,1.59,--,--,2020-04-07,广发证券,倪军/屈俊,摘要
sh600297,广汇汽车,--,0.39,--,--,2020-04-07,东兴证券,陆洲/刘一鸣/张觉尹,摘要
sz300451,创业慧康,0.43,0.53,0.70,--,2020-04-07,国泰君安,李沐华,摘要
sz002777,久远银海,--,0.97,1.28,--,2020-04-07,国泰君安,李沐华,摘要
sz300168,万达信息,--,0.26,0.35,--,2020-04-07,国泰君安,李沐华,摘要
sz300078,思创医惠,--,0.31,0.42,--,2020-04-07,国泰君安,李沐华,摘要
sz300763,锦浪科技,1.69,2.83,--,--,2020-04-07,东吴证券,曾朵红/曹越,摘要
sh601865,福 莱 特,--,0.57,--,--,2020-04-07,东吴证券,曾朵红/曹越,摘要
sh603806,福 斯 特,1.83,1.97,--,--,2020-04-07,东吴证券,曾朵红/曹越,摘要
sh601012,隆基股份,--,1.78,--,--,2020-04-07,东吴证券,曾朵红/曹越,摘要
sh600438,通威股份,--,0.89,--,--,2020-04-07,东吴证券,曾朵红/曹越,摘要
sh601012,隆基股份,--,1.54,--,--,2020-04-07,长城证券,于夕朦/马晓明/蔡紫豪,摘要
sh600438,通威股份,--,0.9,--,--,2020-04-07,长城证券,于夕朦/马晓明/蔡紫豪,摘要
sh601319,中国人保,0.51,0.45,0.49,--,2020-04-07,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601336,新华保险,4.67,4.52,4.96,--,2020-04-07,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601601,中国太保,3.06,3.04,3.77,--,2020-04-07,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601318,中国平安,8.41,7.68,8.85,--,2020-04-07,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601628,中国人寿,2.05,1.74,2.02,--,2020-04-07,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sz300750,宁德时代,--,2.55,--,--,2020-04-07,国元证券,满在朋,摘要
sz300014,亿纬锂能,--,2.12,--,--,2020-04-07,国元证券,满在朋,摘要
sz002074,国轩高科,--,0.73,--,--,2020-04-07,国元证券,满在朋,摘要
sz002064,华峰氨纶,--,0.49,0.59,--,2020-04-07,东兴证券,罗四维/薛阳,摘要
sh600309,万华化学,3.23,3.23,4.30,--,2020-04-07,东兴证券,罗四维/薛阳,摘要
sh601200,上海环境,0.67,0.76,--,--,2020-04-07,国信证券,姚键,摘要
sz300422,博 世 科,--,1.17,--,--,2020-04-07,国信证券,姚键,摘要
sz300388,国祯环保,--,0.83,--,--,2020-04-07,国信证券,姚键,摘要
sz300070,碧 水 源,--,0.53,--,--,2020-04-07,国信证券,姚键,摘要
sh600323,瀚蓝环境,1.19,1.47,--,--,2020-04-07,国信证券,姚键,摘要
sz002025,航天电器,0.94,1.2,--,--,2020-04-07,中信证券,李建伟,摘要
sh601128,常熟银行,--,0.77,0.90,--,2020-04-07,天风证券,廖志明,摘要
sh601818,光大银行,0.68,0.79,0.87,--,2020-04-07,天风证券,廖志明,摘要
sh601166,兴业银行,--,3.46,3.86,--,2020-04-07,天风证券,廖志明,摘要
sh600036,招商银行,3.62,4.0,4.40,--,2020-04-07,天风证券,廖志明,摘要
sz000001,平安银行,1.54,1.69,2.01,--,2020-04-07,天风证券,廖志明,摘要
sh601336,新华保险,4.67,5.19,6.00,--,2020-04-07,华泰证券,沈娟/陶圣禹,摘要
sh601318,中国平安,8.41,10.31,12.09,--,2020-04-07,华泰证券,沈娟/陶圣禹,摘要
sh601628,中国人寿,2.05,2.57,3.08,--,2020-04-07,华泰证券,沈娟/陶圣禹,摘要
sz000338,潍柴动力,1.15,1.21,1.31,--,2020-04-07,华西证券,崔琰,摘要
sz000951,中国重汽,1.82,2.09,2.28,--,2020-04-07,华西证券,崔琰,摘要
sz000581,威孚高科,--,2.38,2.55,--,2020-04-07,华西证券,崔琰,摘要
sh601012,隆基股份,--,1.7,2.05,--,2020-04-07,民生证券,杨睿/李唯嘉,摘要
sz002129,中环股份,0.32,0.55,0.75,--,2020-04-07,民生证券,杨睿/李唯嘉,摘要
sh603708,家 家 悦,--,0.95,1.11,--,2020-04-07,开源证券,黄泽鹏,摘要
sh601933,永辉超市,--,0.3,0.38,--,2020-04-07,开源证券,黄泽鹏,摘要
sz300296,利 亚 德,0.28,0.52,--,--,2020-04-07,东莞证券,魏红梅/刘梦麟,摘要
sz300232,洲明科技,--,0.75,--,--,2020-04-07,东莞证券,魏红梅/刘梦麟,摘要
sz002449,国星光电,0.66,0.85,--,--,2020-04-07,东莞证券,魏红梅/刘梦麟,摘要
sh600703,三安光电,--,0.52,--,--,2020-04-07,东莞证券,魏红梅/刘梦麟,摘要
sz000725,京东方Ａ,--,0.15,--,--,2020-04-07,东莞证券,魏红梅/刘梦麟,摘要
sz300037,新 宙 邦,--,1.23,1.57,--,2020-04-07,东方证券,卢日鑫/李梦强,摘要
sz000100,TCL 科技,0.20,0.27,--,--,2020-04-07,东莞证券,魏红梅/刘梦麟,摘要
sh600050,中国联通,0.16,0.23,0.29,0.32,2020-04-07,国信证券,程成/马成龙,摘要
sh600196,复星医药,1.30,1.41,1.68,1.98,2020-04-07,国泰君安,丁丹/黄炎,摘要
sh688158,优 刻 得,--,0.1,0.19,--,2020-04-07,东吴证券,侯宾,摘要
sh603236,移远通信,1.94,3.71,5.36,--,2020-04-07,东吴证券,侯宾,摘要
sh603516,淳中科技,0.87,1.27,1.75,--,2020-04-07,东吴证券,侯宾,摘要
sz002916,深南电路,3.66,4.93,6.26,--,2020-04-07,东吴证券,侯宾,摘要
sz300738,奥飞数据,0.88,1.36,1.98,--,2020-04-07,东吴证券,侯宾,摘要
sz002912,中新赛克,--,3.44,4.74,--,2020-04-07,东吴证券,侯宾,摘要
sh603083,剑桥科技,--,0.82,1.37,--,2020-04-07,东吴证券,侯宾,摘要
sz300628,亿联网络,2.07,2.63,3.34,--,2020-04-07,东吴证券,侯宾,摘要
sz300590,移为通信,--,1.31,1.67,--,2020-04-07,东吴证券,侯宾,摘要
sh603496,恒为科技,0.34,0.71,0.99,--,2020-04-07,东吴证券,侯宾,摘要
sz300684,中石科技,--,0.8,1.08,--,2020-04-07,东吴证券,侯宾,摘要
sz300578,会畅通讯,--,0.99,1.34,--,2020-04-07,东吴证券,侯宾,摘要
sh603881,数 据 港,0.52,1.02,1.28,--,2020-04-07,东吴证券,侯宾,摘要
sz300394,天孚通信,--,1.06,1.35,--,2020-04-07,东吴证券,侯宾,摘要
sz300548,博创科技,--,1.07,1.69,--,2020-04-07,东吴证券,侯宾,摘要
sz300502,新 易 盛,--,1.27,1.66,--,2020-04-07,东吴证券,侯宾,摘要
sz300496,中科创达,0.59,1.13,1.66,--,2020-04-07,东吴证券,侯宾,摘要
sh603887,城地股份,1.58,1.55,1.76,--,2020-04-07,东吴证券,侯宾,摘要
sz002796,世嘉科技,--,1.48,1.90,--,2020-04-07,东吴证券,侯宾,摘要
sz002815,崇达技术,--,0.78,1.01,--,2020-04-07,东吴证券,侯宾,摘要
sz002792,通宇通讯,--,0.86,1.29,--,2020-04-07,东吴证券,侯宾,摘要
sz300383,光环新网,--,0.72,1.00,--,2020-04-07,东吴证券,侯宾,摘要
sz300322,硕 贝 德,0.23,0.43,0.59,--,2020-04-07,东吴证券,侯宾,摘要
sz300308,中际旭创,--,1.21,1.63,--,2020-04-07,东吴证券,侯宾,摘要
sz002583,海 能 达,--,0.37,0.45,--,2020-04-07,东吴证券,侯宾,摘要
sz002463,沪电股份,0.71,0.91,1.13,--,2020-04-07,东吴证券,侯宾,摘要
sz002436,兴森科技,0.20,0.27,0.35,--,2020-04-07,东吴证券,侯宾,摘要
sz300098,高 新 兴,--,0.05,0.10,--,2020-04-07,东吴证券,侯宾,摘要
sz002402,和 而 泰,0.36,0.47,0.64,--,2020-04-07,东吴证券,侯宾,摘要
sz300017,网宿科技,--,0.25,0.33,--,2020-04-07,东吴证券,侯宾,摘要
sz002467,二 六 三,--,0.16,0.2,--,2020-04-07,东吴证券,侯宾,摘要
sz002281,光迅科技,--,0.87,1.13,--,2020-04-07,东吴证券,侯宾,摘要
sz002396,星网锐捷,1.05,1.35,1.71,--,2020-04-07,东吴证券,侯宾,摘要
sz002139,拓邦股份,0.33,0.32,0.41,--,2020-04-07,东吴证券,侯宾,摘要
sz002123,梦网集团,--,0.76,1.14,--,2020-04-07,东吴证券,侯宾,摘要
sz002075,沙钢股份,0.24,0.3,0.4,--,2020-04-07,东吴证券,侯宾,摘要
sh600845,宝信软件,--,0.98,1.2,--,2020-04-07,东吴证券,侯宾,摘要
sh600804,鹏 博 士,--,0.14,0.2,--,2020-04-07,东吴证券,侯宾,摘要
sh600728,佳都科技,0.42,0.23,0.36,--,2020-04-07,东吴证券,侯宾,摘要
sh600183,生益科技,0.66,0.83,1.0,--,2020-04-07,东吴证券,侯宾,摘要
sh600126,杭钢股份,0.27,0.28,0.3,--,2020-04-07,东吴证券,侯宾,摘要
sh600050,中国联通,0.16,0.2,0.23,--,2020-04-07,东吴证券,侯宾,摘要
sz000988,华工科技,--,0.61,0.74,--,2020-04-07,东吴证券,侯宾,摘要
sz000977,浪潮信息,--,0.9,1.22,--,2020-04-07,东吴证券,侯宾,摘要
sz000938,紫光股份,--,1.14,1.45,--,2020-04-07,东吴证券,侯宾,摘要
sz000063,中兴通讯,1.22,1.52,1.87,--,2020-04-07,东吴证券,侯宾,摘要
sz002124,天邦股份,--,2.57,2.27,--,2020-04-07,国泰君安,钟凯锋/鲁家瑞/李晓渊,摘要
sh600161,天坛生物,0.58,0.74,0.85,0.98,2020-04-07,东北证券,崔洁铭,摘要
sh600009,上海机场,2.61,0.62,2.71,3.35,2020-04-07,国泰君安,岳鑫/郑武,摘要
sz000860,顺鑫农业,--,1.71,2.31,--,2020-04-07,国盛证券,符蓉/李梦鹇,摘要
sh600372,中航电子,0.32,0.36,0.42,0.49,2020-04-07,东方证券,王天一/罗楠,摘要
sz300253,卫宁健康,0.25,0.33,0.49,0.66,2020-04-07,天风证券,沈海兵,摘要
sh600900,长江电力,--,0.95,0.94,--,2020-04-07,中信证券,李想/武云泽,摘要
sh603317,天味食品,0.74,0.83,1.03,1.25,2020-04-07,中信证券,薛缘/顾训丁,摘要
sh600452,涪陵电力,--,1.47,1.57,--,2020-04-07,长城证券,于夕朦/范杨春晓,摘要
sh603111,康尼机电,0.65,0.46,0.53,0.64,2020-04-07,中信证券,刘海博/左腾飞/李睿鹏,摘要
sh600066,宇通客车,0.85,1.11,1.34,1.50,2020-04-07,中信证券,宋韶灵/陈俊斌/尹欣驰,摘要
sz300699,光威复材,1.01,1.28,1.64,2.20,2020-04-07,东方证券,王天一/罗楠,摘要
sz002202,金风科技,0.51,0.9,0.98,0.97,2020-04-07,东兴证券,郑丹丹/李远山/张阳,摘要
sz002013,中航机电,0.27,0.31,0.35,0.41,2020-04-07,东方证券,王天一/罗楠,摘要
sh600033,福建高速,0.30,0.1,0.35,0.37,2020-04-07,华泰证券,沈晓峰/林霞颖,摘要
sz002555,三七互娱,1.00,1.26,1.49,1.76,2020-04-07,东莞证券,魏红梅/罗炜斌,摘要
sz002320,海峡股份,0.22,0.15,0.23,0.25,2020-04-07,东北证券,瞿永忠,摘要
sh603713,密尔克卫,1.29,1.68,2.41,3.21,2020-04-07,国信证券,商艾华/龚诚,摘要
sz002688,金河生物,--,0.44,0.59,--,2020-04-07,天风证券,吴立/王聪,摘要
sh603605,珀 莱 雅,1.96,2.38,3.13,3.80,2020-04-07,国元证券,李典,摘要
sh603839,安正时尚,0.76,0.63,0.7,0.81,2020-04-07,申万宏源研究,王立平,摘要
sz002251,步 步 高,--,0.27,0.35,--,2020-04-07,浙商证券,邱冠华,摘要
sz300253,卫宁健康,0.25,0.33,0.46,0.63,2020-04-07,国信证券,熊莉/于威业,摘要
sh601966,玲珑轮胎,1.41,1.75,1.97,--,2020-04-07,财通证券,虞小波/张兴宇,摘要
sz300253,卫宁健康,0.25,0.31,0.48,0.64,2020-04-07,东北证券,安永平/邵珠印/赵伟博,摘要
sh603605,珀 莱 雅,1.96,2.39,3.47,4.89,2020-04-07,万联证券,陈雯/李滢,摘要
sz002468,申通快递,--,1.08,1.22,--,2020-04-07,东北证券,瞿永忠/王哲宇,摘要
sz002398,垒知集团,0.58,0.7,0.97,1.20,2020-04-07,中银国际,王军,摘要
sh600309,万华化学,3.23,2.87,4.97,5.66,2020-04-07,财通证券,虞小波/张兴宇,摘要
sh600038,中直股份,1.00,1.19,1.47,1.68,2020-04-07,东方证券,王天一/罗楠,摘要
sh603060,国检集团,0.68,0.84,1.01,1.19,2020-04-07,兴业证券,孟杰/黄杨,摘要
sz300253,卫宁健康,0.25,0.32,0.43,0.59,2020-04-07,招商证券,,
sh601138,工业富联,0.94,1.01,1.17,1.36,2020-04-07,海通证券,陈平/朱劲松/蒋俊/张弋,摘要
sz002013,中航机电,0.27,0.31,0.37,0.44,2020-04-07,中信建投证券,黎韬扬/王春阳,摘要
sz300760,迈瑞医疗,3.85,4.76,5.8,7.01,2020-04-07,中信建投证券,贺菊颖,摘要
sh688016,心脉医疗,2.31,2.58,3.42,4.46,2020-04-07,中信建投证券,贺菊颖,摘要
sh688029,南微医学,2.67,2.17,3.46,4.7,2020-04-07,中信建投证券,贺菊颖,摘要
sz002555,三七互娱,1.0,1.3,1.53,1.76,2020-04-07,广发证券,旷实/朱可夫,摘要
sz300751,迈为股份,4.76,7.24,9.75,12.48,2020-04-07,广发证券,王珂/罗立波/刘芷君,摘要
sz300003,乐普医疗,0.97,1.26,1.66,2.16,2020-04-07,中信建投证券,贺菊颖,摘要
sz002555,三七互娱,1.0,1.24,1.46,1.7,2020-04-07,兴业证券,丁婉贝/刘跃,摘要
sz002049,紫光国微,0.67,1.1,1.37,1.08,2020-04-07,天风证券,,
sh688029,南微医学,2.67,2.88,4.0,5.18,2020-04-07,渤海证券,徐勇/甘英健/陈晨/张山峰,摘要
sh603605,珀 莱 雅,1.96,2.54,3.22,3.93,2020-04-07,兴业证券,刘嘉仁,摘要
sz300699,光威复材,1.01,1.22,1.47,1.82,2020-04-07,国泰君安,,
sz002028,思源电气,--,1.06,1.42,--,2020-04-07,招商证券,游家训,摘要
sh603919,金 徽 酒,0.71,0.72,0.81,0.93,2020-04-07,招商证券,杨勇胜/李泽明,摘要
sh600372,中航电子,0.32,0.36,0.43,0.50,2020-04-07,招商证券,王超/岑晓翔,摘要
sz002938,鹏鼎控股,1.27,1.38,1.78,2.04,2020-04-07,招商证券,鄢凡/张益敏,摘要
sh600298,安琪酵母,1.09,1.23,1.41,1.64,2020-04-07,招商证券,杨勇胜/欧阳予,摘要
sh603605,珀 莱 雅,1.96,2.47,3.09,3.82,2020-04-07,华西证券,徐林锋/戚志圣,摘要
sh603596,伯 特 利,0.98,1.17,1.41,1.68,2020-04-07,华西证券,崔琰,摘要
sh601688,华泰证券,1.04,1.08,1.26,1.43,2020-04-07,东兴证券,刘嘉玮,摘要
sz300119,瑞普生物,0.49,0.64,0.81,1.00,2020-04-07,西南证券,徐卿,摘要
sz300760,迈瑞医疗,3.85,4.67,5.66,6.90,2020-04-07,兴业证券,徐佳熹,摘要
sz002318,久立特材,0.59,0.54,0.66,0.77,2020-04-07,中信证券,唐川林,摘要
sz002179,中航光电,1.04,1.1,1.34,1.73,2020-04-07,华创证券,,
sh601808,中海油服,0.52,0.64,0.79,1.02,2020-04-07,西南证券,倪正洋,摘要
sz300114,中航电测,0.36,0.43,0.53,0.65,2020-04-07,东方证券,王天一/罗楠,摘要
sz300003,乐普医疗,0.97,1.24,1.63,2.09,2020-04-07,国信证券,谢长雁,摘要
sh603605,珀 莱 雅,1.96,2.49,3.22,4.10,2020-04-07,广发证券,洪涛,摘要
sh603605,珀 莱 雅,1.96,2.52,3.2,4.08,2020-04-07,东北证券,李慧/李森蔓,摘要
sz000031,大 悦 城,0.61,0.67,0.81,0.99,2020-04-07,长城证券,陈智旭,摘要
sh601992,金隅集团,0.35,0.38,0.42,--,2020-04-07,中金公司,李可悦/陈彦,摘要
sz300119,瑞普生物,0.49,0.6,0.74,0.80,2020-04-07,中信证券,盛夏/彭家乐,摘要
sh600161,天坛生物,0.58,0.64,0.74,1.09,2020-04-07,国信证券,谢长雁,摘要
sz002202,金风科技,0.51,1.0,1.15,1.21,2020-04-07,华金证券,肖索,摘要
sh603711,香 飘 飘,--,1.15,1.43,--,2020-04-07,华泰证券,贺琪/李晴/张晋溢,摘要
sh601318,中国平安,8.41,10.31,12.09,13.98,2020-04-07,华泰证券,沈娟/陶圣禹,摘要
sh603605,珀 莱 雅,1.96,2.53,3.2,3.94,2020-04-07,浙商证券,邱冠华,摘要
sz002555,三七互娱,1.00,1.37,1.65,1.95,2020-04-07,华泰证券,王林/周钊,摘要
sh601800,中国交建,1.16,1.3,1.48,1.61,2020-04-07,东北证券,王小勇,摘要
sz002223,鱼跃医疗,--,0.93,1.12,--,2020-04-07,川财证券,周豫,摘要
sz300119,瑞普生物,0.49,0.6,0.74,0.85,2020-04-07,方正证券,程一胜,摘要
sz002555,三七互娱,1.00,1.32,1.64,1.99,2020-04-07,国盛证券,,
sh600862,中航高科,0.40,0.29,0.41,0.58,2020-04-07,兴业证券,石康/李博彦,摘要
sz300206,理邦仪器,--,0.4,0.46,--,2020-04-07,西南证券,朱国广/刘闯,摘要
sh600563,法拉电子,2.03,2.04,2.41,2.81,2020-04-07,中泰证券,刘翔/傅盛盛,摘要
sh600486,扬农化工,--,4.05,4.94,--,2020-04-07,中金公司,,
sz300395,菲 利 华,0.63,0.74,0.94,1.2,2020-04-07,国泰君安,彭磊/杨宇/滕光耀,摘要
sz002465,海格通信,0.23,0.23,0.25,0.27,2020-04-07,万联证券,王思敏/贺潇翔宇/徐益彬,摘要
sz002555,三七互娱,1.0,1.27,1.46,1.7,2020-04-07,长城证券,何思霖,摘要
sz300395,菲 利 华,0.63,0.7,0.88,1.1,2020-04-07,华创证券,,
sh601169,北京银行,--,1.1,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601009,南京银行,--,1.67,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sz002142,宁波银行,--,3.03,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601328,交通银行,1.00,1.07,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601398,工商银行,0.86,0.9,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601988,中国银行,0.61,0.65,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601225,陕西煤业,--,1.21,--,--,2020-04-03,中银国际,唐倩,摘要
sh601101,昊华能源,--,0.65,--,--,2020-04-03,中银国际,唐倩,摘要
sh601898,中煤能源,0.42,0.49,--,--,2020-04-03,中银国际,唐倩,摘要
sh601918,新集能源,--,0.49,--,--,2020-04-03,中银国际,唐倩,摘要
sh601088,中国神华,2.17,1.91,--,--,2020-04-03,中银国际,唐倩,摘要
sz002128,露天煤业,--,1.33,--,--,2020-04-03,中银国际,唐倩,摘要
sh601666,平煤股份,--,0.55,--,--,2020-04-03,中银国际,唐倩,摘要
sh601699,潞安环能,--,1.13,--,--,2020-04-03,中银国际,唐倩,摘要
sh600997,开滦股份,0.72,0.99,--,--,2020-04-03,中银国际,唐倩,摘要
sh600740,山西焦化,0.31,1.0,--,--,2020-04-03,中银国际,唐倩,摘要
sh600546,山煤国际,--,0.63,--,--,2020-04-03,中银国际,唐倩,摘要
sh600403,大有能源,--,0.43,--,--,2020-04-03,中银国际,唐倩,摘要
sh600395,盘江股份,0.66,0.65,--,--,2020-04-03,中银国际,唐倩,摘要
sh600348,阳泉煤业,--,0.87,--,--,2020-04-03,中银国际,唐倩,摘要
sh600188,兖州煤业,--,1.71,--,--,2020-04-03,中银国际,唐倩,摘要
sh600157,永泰能源,--,0.08,--,--,2020-04-03,中银国际,唐倩,摘要
sh600123,兰花科创,--,1.13,--,--,2020-04-03,中银国际,唐倩,摘要
sz000937,冀中能源,--,0.32,--,--,2020-04-03,中银国际,唐倩,摘要
sz000933,神火股份,--,0.38,--,--,2020-04-03,中银国际,唐倩,摘要
sh600217,中再资环,--,0.35,0.41,--,2020-04-03,平安证券,庞文亮,摘要
sz000826,启迪环境,--,0.6,1.01,--,2020-04-03,平安证券,庞文亮,摘要
sh603260,合盛硅业,--,2.5,--,--,2020-04-03,申万宏源研究,王宏为/史霜霜,摘要
sz300014,亿纬锂能,--,2.11,--,--,2020-04-03,财通证券,龚斯闻,摘要
sz002887,绿茵生态,--,1.39,--,--,2020-04-03,中信证券,罗鼎,摘要
sh603359,东珠生态,--,1.71,--,--,2020-04-03,中信证券,罗鼎,摘要
sh601668,中国建筑,--,1.06,--,--,2020-04-03,中信证券,罗鼎,摘要
sh601186,中国铁建,1.40,1.6,--,--,2020-04-03,中信证券,罗鼎,摘要
sh601390,中国中铁,0.95,0.86,--,--,2020-04-03,中信证券,罗鼎,摘要
sh600585,海螺水泥,6.34,6.71,--,--,2020-04-03,中信证券,罗鼎,摘要
sz000401,冀东水泥,1.85,2.49,--,--,2020-04-03,中信证券,罗鼎,摘要
sh601952,苏垦农发,--,0.45,--,--,2020-04-03,中信证券,盛夏/熊承慧/彭家乐,摘要
sz300087,荃银高科,--,0.28,--,--,2020-04-03,中信证券,盛夏/熊承慧/彭家乐,摘要
sz002385,大 北 农,--,0.58,--,--,2020-04-03,中信证券,盛夏/熊承慧/彭家乐,摘要
sz002041,登海种业,--,0.15,--,--,2020-04-03,中信证券,盛夏/熊承慧/彭家乐,摘要
sh601818,光大银行,0.68,0.79,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601998,中信银行,0.95,1.01,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601166,兴业银行,--,3.45,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh600036,招商银行,3.62,4.14,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh600016,民生银行,1.22,1.3,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh600015,华夏银行,--,1.51,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sz000001,平安银行,1.54,1.62,--,--,2020-04-03,国泰君安,袁梓芳/郭昶皓,摘要
sh601336,新华保险,4.67,4.85,5.30,6.14,2020-04-03,国泰君安,刘欣琦/谢雨晟,摘要
sh601601,中国太保,3.06,3.2,3.57,4.12,2020-04-03,国泰君安,刘欣琦/谢雨晟,摘要
sh601318,中国平安,8.41,8.78,10.59,13.76,2020-04-03,国泰君安,刘欣琦/谢雨晟,摘要
sh601628,中国人寿,2.05,1.98,2.23,2.57,2020-04-03,国泰君安,刘欣琦/谢雨晟,摘要
sz300274,阳光电源,--,0.93,1.18,--,2020-04-03,华创证券,杨达伟/于潇/邱迪,摘要
sz300118,东方日升,--,1.2,1.43,--,2020-04-03,华创证券,杨达伟/于潇/邱迪,摘要
sh601012,隆基股份,--,1.8,2.15,--,2020-04-03,华创证券,杨达伟/于潇/邱迪,摘要
sz002459,晶澳科技,1.27,1.09,1.41,--,2020-04-03,华创证券,杨达伟/于潇/邱迪,摘要
sh600438,通威股份,--,0.88,1.07,--,2020-04-03,华创证券,杨达伟/于潇/邱迪,摘要
sz002938,鹏鼎控股,1.27,1.42,1.75,2.15,2020-04-03,西南证券,仇文妍,摘要
sz300073,当升科技,--,0.55,0.67,--,2020-04-03,渤海证券,郑连声/滕飞,摘要
sh603111,康尼机电,0.65,0.48,0.56,--,2020-04-03,银河证券,李良/范想想,摘要
sz300037,新 宙 邦,--,1.12,1.38,--,2020-04-03,长城证券,于夕朦/马晓明/蔡紫豪,摘要
sz002236,大华股份,1.10,1.16,1.40,1.79,2020-04-03,中信证券,徐涛/胡叶倩雯,摘要
sz000876,新 希 望,1.22,3.64,4.63,3.84,2020-04-03,开源证券,陈雪丽,摘要
sz002236,大华股份,1.10,1.27,1.54,1.82,2020-04-03,国元证券,耿军军,摘要
sh600511,国药股份,2.10,2.36,2.69,--,2020-04-03,东莞证券,魏红梅/雷国轩,摘要
sz300760,迈瑞医疗,3.85,4.67,5.67,6.69,2020-04-03,东吴证券,全铭,摘要
sh603605,珀 莱 雅,1.96,2.38,2.98,3.63,2020-04-03,长城证券,黄淑妍/张家璇,摘要
sh603596,伯 特 利,0.98,1.24,1.60,2.00,2020-04-03,万联证券,周春林,摘要
sz300395,菲 利 华,0.63,0.76,1.07,1.41,2020-04-03,兴业证券,石康/李博彦,摘要
sz002013,中航机电,0.27,0.31,0.37,0.43,2020-04-03,方正证券,孟祥杰,摘要
sh688122,西部超导,0.38,0.44,0.51,0.59,2020-04-03,方正证券,孟祥杰,摘要
sz002312,三泰控股,0.06,0.32,0.39,0.43,2020-04-03,东北证券,瞿永忠/王哲宇,摘要
sz300114,中航电测,0.36,0.42,0.50,0.60,2020-04-03,方正证券,孟祥杰,摘要
sh600416,*ST 湘电,-1.67,0.13,0.16,0.20,2020-04-03,方正证券,孟祥杰,摘要
sz000877,天山股份,1.56,1.79,1.92,1.97,2020-04-03,国盛证券,黄诗涛/石峰源,摘要
sz300037,新 宙 邦,--,1.09,1.36,--,2020-04-03,兴业证券,邓先河/张志扬,摘要
